,,,,,,,,,,,,DIPUTADO POR Madrid,MESA.PRESIDENTE,MESA.VICEPRESIDENTE,MESA.SECRETARIO,GRUPO.PORTAVOZ,GRUPO.PORTAVOZ_ADJUNTO,COMISIÓN.PRESIDENTE,COMISIÓN.VICEPRESIDENTE,COMISIÓN.SECRETARIO,COMISIÓN.PORTAVOZ,COMISIÓN.PORTAVOZ_ADJUNTO,NOTAS
,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO ,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"Císcar Casabán, Ciprià  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,,
"Ciuró i Buldó, Lourdes  (GC-CiU)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,x,
"Cobaleda Hernández, María Teresa  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Salamanca,F,,,,,,,,,,,x,
"Cobos Trallero, Sara  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Zaragoza,F,,,,,,,,,x,,,
"Collarte Rodríguez, Guillermo  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Ourense,M,,,,,,,,,,,x,
"Conde Bajén, Agustín  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Toledo,M,,,,,,,x,,,,,
"Conde Martínez, Gema  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Burgos,F,,,,,,,,,x,,,
"Corcuera Plaza, Juan Carlos  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,x,x,,
"Cortés Bureta, Pilar  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Zaragoza,F,,,,,,,,,,,x,
"Cortés Martín, Miguel Ángel  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Valladolid,M,,,,,,,x,,,,,
"Cortizo Nieto, Miguel Ángel  (GS)",2813.87,,,,,0,1823.86,4637.73,64928.22,A Coruña,M,,,,,,,,x,,,,
"Coscubiela Conesa, Joan  (GIP)",2813.87,,1741.19,926.31,2667.5,1046.48,1823.86,11019.21,154268.94,Barcelona,M,,,,,,,,,,x,x,Portavoz Sustituto de la Junta de Portavoces
"Costa Palacios, María Angelina  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Córdoba,F,,,,,,,,,,x,,
"Cuadra Lasarte, Sabino  (GMx)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Navarra,M,,,,,,,,,,x,x,
"Cunillera Mestres, Teresa  (GS)",2813.87,944.49,818.46,677.35,,697.65,1823.86,7775.68,108859.52,Lleida,F,,,,x,,,,,x,,,
D,,,,,,,,,0,,,,,,,,,,,,,,
"De las Heras Ladera, Ascensión  (GIP)",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,x,
"Delgado Arce, Celso Luis  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Ourense,M,,,,,,,x,,,,,
"Díez González, Rosa María  (GUPyD)",2813.87,,,,2667.5,1046.48,870.56,7398.41,103577.74,Madrid,F,x,,,,x,,,,,x,,
"Duran i Lleida, Josep Antoni  (GC-CiU)",2813.87,,,,2667.5,1431.31,1823.86,8736.54,122311.56,Barcelona,M,,,,,x,,x,,,,,
"Durán Ramos, Eva  (GP)",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,x,,,,
E,,,,,,,,,0,,,,,,,,,,,,,,
"Echávarri Fernández, Gabriel  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Alicante,M,,,,,,,,x,x,,,
"Elorriaga Pisarik, Gabriel  (GP)",2813.87,,,,,1431.31,870.56,5115.74,71620.36,Madrid,M,x,,,,,,x,,,,,
"Elorza González, Odón  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Gipuzkoa,M,,,,,,,,x,,,,
"Enbeita Maguregi, Onintza  (GMx)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Bizkaia,F,,,,,,,,,,x,x,
"Errekondo Saltsamendi, Xabier Mikel  (GMx)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Bizkaia,M,,,,,,,,,,x,,Portavoz Sustituto de la Junta de Portavoces
"Escobar Las Heras, Conrado  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,La Rioja,M,,,,,,,,,,x,,
"Escudero Berzal, Beatriz Marta  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Segovia,F,,,,,,,,,,,x,
"España Reina, Carolina  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Málaga,F,,,,,,,,,,x,,
"Esteban Bravo, Aitor  (GV (EAJ-PNV))",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Bizkaia,M,,,,,x,,,,,x,,
"Esteller Ruedas, Mª Ángeles  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,x,,,,
"Esteve Ortega, Esperança  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,,
F,,,,,,,,,0,,,,,,,,,,,,,,
"Fabra Fernández, Andrea  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Castellón,F,,,,,,,,,,x,,
"Fajarnés Ribas, Enrique  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Illes Balears,M,,,,,,,,,,x,,
"Falcón Dacal, Maravillas Concepción  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Albacete,F,,,,,,,,x,,,,
"Fernández Álvarez, Alejandro  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Tarragona,M,,,,,,,,,,x,,
"Fernández Davila, Mª Olaia  (GMx)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Pontevedra,F,,,,,,,,,,x,x,
"Fernández García, Eduardo  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,León,M,,,,,,,,x,,,,
"Fernández Moya, Gracia  (GS)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Almería,F,,,,,,,,,x,,x,
"Fernández-Ahuja García, María de los Ángeles  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Asturias,F,,,,,,,,,x,,,
"Ferrando Sendra, Amparo  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Alicante,F,,,,,,,,x,,,,
"Ferrer Roselló, Vicente  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Valencia,M,,,,,,,,,,x,,
"Figueres Górriz, María Ascensión  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Castellón,F,,,,,,,,,,,x,
"Flores Lanuza, Mario Francisco José  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Alicante,M,,,,,,,,x,,,,
"Floriano Corrales, Carlos Javier  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Cáceres,M,,,,,,,,x,,,,
"Franquis Vera, Sebastián  (GS)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Las Palmas,M,,,,,,,,,,x,,
"Fumero Roque, Águeda  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Santa Cruz de Tenerife,F,,,,,,,,,x,,,
G,,,,,,,,,0,,,,,,,,,,,,,,
"Gallego Arriola, María del Puerto  (GS)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Cantabria,F,,,,,,,,,x,x,,
"Gallego Burgos, Antonio  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Barcelona,M,,,,,,,,,,x,,
"García Álvarez, María Caridad  (GIP)",2813.87,,,,,"1,046.48",870.56,"4,730.91",66232.74,Madrid,F,x,,,,,,,,,x,x,
"García Díez, Joaquín María  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Lugo,M,,,,,,,,,,x,,
"García Egea, Teodoro  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Murcia,M,,,,,,,,,,x,,
"García Gasulla, Guillem  (GS)",2813.87,,,,,697.65,1823.86,"5,335.38",74695.32,Illes Balears,M,,,,,,,,,x,,,
"García Hernández, José Ramón  (GP)",2813.87,,,,,"1,046.48",870.56,"4,730.91",66232.74,Madrid,M,x,,,,,,,x,,,,
"García Pérez, Pablo  (GP)",2813.87,,,,,697.65,1823.86,"5,335.38",74695.32,Granada,M,,,,,,,,,,,x,
"García Sena, Teresa  (GP)",2813.87,,,,,,1823.86,"4,637.73",64928.22,Valencia,F,,,,,,,,,x,,,
"García-Tizón López, Arturo  (GP)",2813.87,,,,,"1,431.31",1823.86,"6,069.04",84966.56,Toledo,M,,,,,,,x,,,,,
"Garzón Espinosa, Alberto  (GIP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Málaga,M,,,,,,,,,,x,x,
"Gil Lázaro, Ignacio  (GP)",2813.87,944.49,818.46,677.35,,697.65,1823.86,"7,775.68",108859.52,Valencia,M,,,,x,,,,,x,,,
"Girela de la Fuente, José Manuel  (GS)",2813.87,,,,,697.65,1823.86,"5,335.38",74695.32,Sevilla,M,,,,,,,,,,,x,
"Gómez de la Serna y Villacieros, Pedro Ramón  (GP)",2813.87,,,,,"1,431.31",1823.86,"6,069.04",84966.56,Segovia,M,,,,,,,,,,x,,
"Gómez Sánchez, Tomás Valeriano  (GS)",2813.87,,,,,"1,046.48",870.56,"4,730.91",66232.74,Madrid,M,x,,,,,,,x,,,,
"González Cabaña, Francisco  (GS)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Cádiz,M,,,,,,,,,,x,x,
"González Gutiérrez, Concepción  (GP)",2813.87,,,,,,1823.86,"4,637.73",64928.22,Cáceres,F,,,,,,,,,,,,
"González Muñoz, Ángel Luis  (GP)",2813.87,,,,,697.65,1823.86,"5,335.38",74695.32,Málaga,M,,,,,,,,,,,x,
"González Ramos, Manuel Gabriel  (GS)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Albacete,M,,,,,,,,,x,x,,
"González Santín, María Luisa  (GS)",2813.87,,,,,697.65,1823.86,"5,335.38",74695.32,León,F,,,,,,,,,x,,,
"González Vázquez, Marta  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,A Coruña,F,,,,,,,,,,x,,
"González Vázquez, Sebastián  (GP)",2813.87,,,,,"1,431.31",1823.86,"6,069.04",84966.56,Ávila,M,,,,,,,x,,,,,
"González Veracruz, María  (GS)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Murcia,F,,,,,,,,,,x,,
"Gordo Pérez, Juan Luis  (GS)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Segovia,M,,,,,,,,,,x,,
"Grande Pesquero, Pilar  (GS)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Las Palmas,F,,,,,,,,,,x,,
"Grau Reinés, Juan Carlos  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Illes Balears,M,,,,,,,,,,x,,
"Guaita Vañó, Inmaculada  (GP)",2813.87,,,,,,1823.86,"4,637.73",64928.22,Valencia,F,,,,,,,,,,,,
"Guerra González, Alfonso  (GS)",2813.87,,,,,"1,431.31",1823.86,"6,069.04",84966.56,Sevilla,M,,,,,,,x,,,,,
"Guillaumes i Ràfols, Feliu-Joan  (GC-CiU)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Barcelona,M,,,,,,,,,,x,x,
"Guillén Izquierdo, Vicente  (GS)",2813.87,,,,,697.65,1823.86,"5,335.38",74695.32,Teruel,M,,,,,,,,,x,,x,
"Gutiérrez del Castillo, María Concepción  (GS)",2813.87,,,,,,1823.86,"4,637.73",64928.22,Jaén,F,,,,,,,,x,,,,
"Gutiérrez Molina, Antonio  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Melilla,M,,,,,,,,x,,,,
H,,,,,,,,,0,,,,,,,,,,,,,,
"Heredia Díaz, Miguel Ángel  (GS)",2813.87,0.00,0.00,0.00,2667.40,0.00,1823.86,7305.13,102271.82,Málaga,M,,,,,,,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Heredia Martín, Silvia  (GP)",2813.87,0.00,0.00,0.00,0.00,697.65,1823.86,5335.38,74695.32,Sevilla,F,,,,,,,,,x,,,
"Hernández Gutiérrez, Patricia  (GS)",2813.87,0.00,0.00,0.00,0.00,697.65,1823.86,5335.38,74695.32,Santa Cruz de Tenerife,F,,,,,,,,,x,,x,
"Hernando Fraile, Rafael Antonio  (GP)",2813.87,0.00,0.00,0.00,2667.40,0.00,1823.86,7305.13,102271.82,Almería,M,,,,,,,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Hernando Vera, Antonio  (GS)",2813.87,0.00,0.00,0.00,2667.40,0.00,870.56,6351.83,88925.62,Madrid,M,x,,,,x,,,,,,,
"Hernanz Costa, Sofía  (GS)",2813.87,0.00,0.00,0.00,2667.40,0.00,1823.86,7305.13,102271.82,Illes Balears,F,,,,,,,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Herrero Bono, José Alberto  (GP)",2813.87,0.00,0.00,0.00,0.00,0.00,1823.86,4637.73,64928.22,Teruel,M,,,,,,,,,,,,
"Hoyo Juliá, Belén  (GP)",2813.87,0.00,0.00,0.00,0.00,697.65,1823.86,5335.38,74695.32,Valencia,F,,,,,,,,,x,,,
"Hurtado Zurera, Antonio  (GS)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Córdoba,M,,,,,,,,,,,x,
I,,,,,,,,,0,,,,,,,,,,,,,,
"Ibáñez Gimeno, Manuel  (GP)",2813.87,,,,,,1823.86,4637.73,64928.22,Castellón,M,,,,,,,,,,,,
"Iglesias Fontal, María Olga  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Lugo,F,,,,,,,,,,,x,
"Iglesias Santiago, Leire  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cáceres,F,,,,,,,,,,x,,
"Iñarritu García, Jon  (GMx)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Bizkaia,M,,,,,,,,,,x,x,
,,,,,,,,,0,,,,,,,,,,,,,,
"Jané i Guasch, Jordi  (GC-CiU)",2813.87,1209.6,1010.83,707.1,,1046.48,1823.86,8611.74,120564.36,Tarragona,M,,,x,,,,,,,x,x,
"Jiménez Díaz, María Piedra Escrita  (GP)",2813.87,,,,,,1823.86,4637.73,64928.22,Badajoz,F,,,,,,,,,,,,
"Jiménez García-Herrera, Trinidad  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Málaga,F,,,,,,,,,,x,,
"Jiménez Mínguez, Encarnación  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Guadalajara,F,,,,,,,,,,,x,
"Jordà i Roura, Teresa  (GMx)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Girona,F,,,,,,,,,,x,x,
"Juste Picón, María Belén  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valencia,F,,,,,,,,x,,,,
,,,,,,,,,0,,,,,,,,,,,,,,
"Lagares Flores, Juan Carlos  (GP)","2,813.87",,,,,"1,046.48",1823.86,"5,684.21",79578.94,Huelva,M,,,,,,,,x,,,,
"Lago Martínez, María Paz  (GP)","2,813.87",,,,,697.65,1823.86,"5,335.38",74695.32,Pontevedra,F,,,,,,,,,x,,,
"Landaluce Calleja, José Ignacio  (GP)","2,813.87",,,,,"1,046.48",1823.86,"5,684.21",79578.94,Cádiz,M,,,,,,,,x,,,,
