,,,,,,,,,,,,DIPUTADO POR Madrid,MESA.PRESIDENTE,MESA.VICEPRESIDENTE,MESA.SECRETARIO,GRUPO.PORTAVOZ,GRUPO.PORTAVOZ_ADJUNTO,COMISIÓN.PRESIDENTE,COMISIÓN.VICEPRESIDENTE,COMISIÓN.SECRETARIO,COMISIÓN.PORTAVOZ,COMISIÓN.PORTAVOZ_ADJUNTO,NOTAS
NOMBRE,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"Romero Girón, Aurelio  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Cádiz,M,,,,,,,x,,,,,
"Romero Hernández, Carmelo  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Huelva,M,,,,,,,,,x,,,
"Romero Rodríguez, María Eugenia  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Sevilla,F,,,,,,,,,,,x,
"Romero Sánchez, Rosa María  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Ciudad Real,F,,,,,,,,x,,,,
"Rominguera Salazar, María del Mar  (GS)",2813.87,,,,,,1823.86,4637.73,64928.22,Zamora,F,,,,,,,,,x,,,
"Ros Martínez, Susana  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Castellón,F,,,,,,,,,,,x,
"Ruano Gómez, Juan de Dios  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,A Coruña,M,,,,,,,,,,x,,
"Ruiz i Carbonell, Joan  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Tarragona,M,,,,,,,,,x,,,
"Ruiz Llamas, Román  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,x,,,x,
"Rumí Ibáñez, María Consuelo  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Almería,F,,,,,,,,,,x,,
"Sáez Jubero, Àlex  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Girona,M,,,,,,,,,,,x,
"Sahuquillo García, Luis Carlos  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Cuenca,M,,,,,,,,,,,x,
"Salvador Armendáriz, Carlos Casimiro  (GMx)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Navarra,M,,,,,,,,,,x,x,
"Sánchez Amor, José Ignacio  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Badajoz,M,,,,,,,,,,,x,
"Sánchez Barrera, José Juan  (GP)",2813.87,,,,,0,1823.86,4637.73,64928.22,Jaén,M,,,,,,,,,,,,
"Sánchez de Alcázar Ocaña, Miguel  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Jaén,M,,,,,,,,,x,,,
"Sánchez Díaz, María Carmen  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cádiz,F,,,,,,,,x,,,,
"Sánchez Díaz, Ovidio  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Asturias,M,,,,,,,x,,,,,
"Sánchez García, Celinda  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Palencia,F,,,,,,,,x,,,,
"Sánchez i Llibre, Josep  (GC-CiU)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,x,,,,x,x,Portavoz Sustituto de la Junta de Portavoces
"Sánchez Pérez-Castejón, Pedro  (GS)",2813.87,,,,,0,870.56,3684.43,51582.02,Madrid,M,x,,,,,,,,,,,
"Sánchez Robles, Isabel  (GV (EAJ-PNV))",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Bizkaia,F,,,,,,,,,,x,,
"Santa Ana Fernández, María de la Concepción de  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Granada,F,,,,,,,,,,,x,
"Sanz Remón, Álvaro  (GIP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Zaragoza,M,,,,,,,,,,x,x,
"Saura García, Pedro  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Murcia,M,,,,,,,,,,x,,
"Sayós i Motilla, Maria Carme  (GC-CiU)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,x,
"Seara Sobrado, Laura Carmen  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Ourense,F,,,,,,,,,,x,x,
"Segura Clavell, José  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Santa Cruz de Tenerife,M,,,,,,,,,,x,,
"Serrano Argüello, María Arenales  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valladolid,F,,,,,,,,,,x,,
"Serrano Calurano, Bibiano  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Badajoz,M,,,,,,,,,,,x,
"Serrano Coronado, Daniel  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,,
"Serrano Martínez, José Enrique  (GS)",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,x,,,,
"Sicilia Alférez, Felipe Jesús  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Jaén,M,,,,,,,,,,,x,
"Silva Rego, María del Carmen  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Pontevedra,F,,,,x,,,,,,,,
"Simancas Simancas, Rafael  (GS)",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,,,x,,
"Sixto Iglesias, Ricardo  (GIP)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,x,
"Solsona Aixalà, Marc  (GC-CiU)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Lleida,M,,,,,,,,,x,x,x,
"Suárez Lamata, Eloy  (GP)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Zaragoza,M,,,,,,,,,,x,,
"Suárez-Bárcena Blasco, María Cristina  (GP)",2813.87,0,0,0,0,0,1823.86,4637.73,64928.22,Badajoz,F,,,,,,,,,,,,
"Such Botella, Antoni  (GS)",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Valencia,M,,,,,,,,,,,x,
"Sumelzo Jordán, Susana  (GS)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Zaragoza,F,,,,,,,,,,,x,
"Surroca i Comas, Montserrat  (GC-CiU)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Girona,F,,,,,,,,,,x,x,
"Susinos Tarrero, María Jesús  (GP)",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Cantabria,F,,,,,,,,,,,x,
T,,,,,,,,,,,,,,,,,,,,,,,
"Tardà i Coma, Joan  (GMx)",2813.87,0,0,0,0,1046.48,1823.26,5683.61,79570.54,Barcelona,M,,,,,,,,,,x,x,
"Tarno Blanco, Ricardo  (GP)",2813.87,0,0,0,0,1431.31,1823.26,6068.44,84958.16,Sevilla,M,,,,,,,x,,,,,
"Tarruella Tomás, María Concepció  (GC-CiU)",2813.87,0,0,0,0,1046.48,1823.26,5683.61,79570.54,Lleida,F,,,,,,,,,,x,x,
"Torrado de Castro, Marta  (GP)",2813.87,0,0,0,2667.5,0,1823.26,7304.63,102264.82,Valencia,F,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Torres Herrera, Manuel Luis  (GP)",2813.87,0,0,0,0,697.65,1823.26,5334.78,74686.92,Santa Cruz de Tenerife,M,,,,,,,,,x,,,
"Torres Mora, José Andrés  (GS)",2813.87,0,0,0,0,1046.48,1823.26,5683.61,79570.54,Málaga,M,,,,,,,,,,x,,
"Trevín Lombán, Antonio Ramón María  (GS)",2813.87,0,0,0,0,1046.48,1823.26,5683.61,79570.54,Asturias,M,,,,,,,,,,x,,
"Tudanca Fernández, Luis  (GS)",2813.87,0,0,0,0,697.65,1823.26,5334.78,74686.92,Burgos,M,,,,,,,,,x,,x,
U,,,,,,,,,0,,,,,,,,,,,,,,
"Urbina Fernández, Iker  (GMx)",2813.87,,,,,1046.48,1823.26,5683.61,79570.54,Álava,M,,,,,,,,,,x,,
"Uriarte Ayala, Ignacio  (GP)",2813.87,,,,,697.65,1823.26,5334.78,74686.92,Valencia,M,,,,,,,,,,,x,
V,,,,,,,,,0,,,,,,,,,,,,,,
"Valerio Cordero, Magdalena  (GS)",2813.87,0,0,0,2667.5,0,1823.86,7305.23,102273.22,Guadalajara,F,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Vallès Vives, Francesc  (GS)",2813.87,0,0,0,2667.5,0,1823.86,7305.23,102273.22,Tarragona,M,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Vañó Ferre, Francisco  (GP)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Toledo,M,,,,,,,,,,x,,
"Varela Lema, Margarita  (GP)",2813.87,,,,,0,1823.86,4637.73,64928.22,A Coruña,F,,,,,,,,,,,,
"Vázquez Blanco, Ana Belén  (GP)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Ourense,F,,,,,,,,x,,,,
"Vázquez Jiménez, Antonio  (GP)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Zamora,M,,,,,,,,x,,,,
"Vázquez Morillo, María José  (GS)",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Sevilla,F,,,,,,,,,,,x,
"Vera Pró, Juan Carlos  (GP)",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,x,,,,
"Veray Cama, Concepció  (GP)",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Girona,F,,,,,,,,,,,x,
"Viera Chacón, José Antonio  (GS)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Sevilla,M,,,,,,,,x,,,,
"Villalobos Talero, Celia  (GP)",2813.87,1209.6,1010.83,707.1,0,1046.48,1823.86,8611.74,120564.36,Málaga,F,,,x,,,,,,,,,
"Villanova Rueda, Joaquín  (GP)",2813.87,0,,0,0,697.65,1823.86,5335.38,74695.32,Málaga,M,,,,,,,,,,,x,
"Villarrubia Mediavilla, Julio  (GS)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Palencia,M,,,,,,,,x,,,,
X,,,,,,,,,0,,,,,,,,,,,,,,
"Xuclà i Costa, Jordi  (GC-CiU)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Girona,M,,,,,,,,,,x,x,
Z,,,,,,,,,0,,,,,,,,,,,,,,
"Zaragoza Alonso, José",2813.87,0,,0,0,697.65,1823.86,5335.38,74695.32,Barcelona,M,,,,,,,,,,,x,
"Zarrías Arévalo, Gaspar Carlos",2813.87,,0,0,0,1046.48,1823.86,5684.21,79578.94,Jaén,M,,,,,,,,x,,,,
